"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"Esbjerg fB","2-2","FC København","9836","Anders Hermansen","Esbjerg Idrætspark"
1991-03-16,"AaB","1-1","Brøndby IF","13882","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"FC Nordsjælland","0-0","AC Horsens","3391","Lars Christoffersen","Farum Park"
1991-03-16,"Randers FC","2-1","Vejle BK","6184","Michael Svendsen","Essex Park Randers"
1991-03-16,"Silkeborg IF","0-2","FC Midtjylland","3670","Thomas Vejlgaard","Silkeborg Stadion"
1991-03-16,"OB","2-0","Viborg FF","8180","Henrik Priegel","Fionia Park"
1991-03-16,"Vejle BK","2-4","Silkeborg IF","2648","Claus Bo Larsen","Vejle Stadion"
1991-03-16,"FC København","1-0","FC Nordsjælland","20431","Henrik Nystrup Kragh","Parken"
1991-03-16,"FC Midtjylland","1-2","AC Horsens","9710","Jesper Bæk Overgaard","SAS Arena"
1991-03-16,"Viborg FF","3-2","Randers FC","5765","Emil Laursen","Viborg Stadion"
1991-03-16,"AaB","0-1","OB","11152","Nicolai Vollquartz","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-0","Esbjerg fB","15160","Henning Jensen","Brøndby Stadion"
1991-03-16,"AC Horsens","0-0","AaB","3010","Claus Bo Larsen","Forum Horsens Stadion"
1991-03-16,"FC København","2-1","FC Midtjylland","17105","Peter Rasmussen","Parken"
1991-03-16,"Esbjerg fB","3-3","Vejle BK","6981","Henrik Priegel","Esbjerg Idrætspark"
1991-03-16,"FC Nordsjælland","2-0","Viborg FF","3050","Thomas Vejlgaard","Farum Park"
1991-03-16,"Randers FC","0-0","Silkeborg IF","6680","Anders Hermansen","Essex Park Randers"
1991-03-16,"OB","2-2","Brøndby IF","13670","Michael Svendsen","Fionia Park"
1991-03-16,"AaB","0-3","FC Nordsjælland","7319","Peter Rasmussen","Aalborg Stadion"
1991-03-16,"FC Midtjylland","2-1","Randers FC","7016","Thomas Vejlgaard","SAS Arena"
1991-03-16,"Silkeborg IF","0-1","OB","2981","Henning Jensen","Silkeborg Stadion"
1991-03-16,"Vejle BK","2-2","AC Horsens","6759","Emil Laursen","Vejle Stadion"
1991-03-16,"Viborg FF","0-4","Esbjerg fB","3549","Lars Christoffersen","Viborg Stadion"
1991-03-16,"FC København","1-0","Brøndby IF","37989","Nicolai Vollquartz","Parken"
1991-03-16,"Randers FC","0-2","FC København","8814","Henrik Nystrup Kragh","Essex Park Randers"
1991-03-16,"Esbjerg fB","0-2","AaB","7616","Michael Svendsen","Esbjerg Idrætspark"
1991-03-16,"FC Nordsjælland","5-1","Silkeborg IF","3021","Emil Laursen","Farum Park"
1991-03-16,"OB","2-0","AC Horsens","6053","Jesper Bæk Overgaard","Fionia Park"
1991-03-16,"Viborg FF","2-1","Vejle BK","4370","Claus Bo Larsen","Viborg Stadion"
1991-03-16,"Brøndby IF","1-3","FC Midtjylland","17492","Anders Hermansen","Brøndby Stadion"
1991-03-16,"AC Horsens","0-0","Brøndby IF","4061","Nicolai Vollquartz","Forum Horsens Stadion"
1991-03-16,"FC Midtjylland","3-0","OB","10383","Henrik Priegel","SAS Arena"
1991-03-16,"Silkeborg IF","1-2","Esbjerg fB","2486","Peter Rasmussen","Silkeborg Stadion"
1991-03-16,"Vejle BK","3-2","FC Nordsjælland","4028","Jesper Bæk Overgaard","Vejle Stadion"
1991-03-16,"AaB","0-4","Randers FC","7054","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"FC København","3-0","Viborg FF","18109","Thomas Vejlgaard","Parken"
1991-03-16,"Brøndby IF","1-2","AaB","13621","Lars Christoffersen","Brøndby Stadion"
1991-03-16,"AC Horsens","1-1","Esbjerg fB","2884","Thomas Vejlgaard","Forum Horsens Stadion"
1991-03-16,"FC Nordsjælland","1-4","FC Midtjylland","2893","Michael Svendsen","Farum Park"
1991-03-16,"Randers FC","0-1","Vejle BK","5654","Henning Jensen","Essex Park Randers"
1991-03-16,"Silkeborg IF","1-2","Viborg FF","5832","Claus Bo Larsen","Silkeborg Stadion"
1991-03-16,"OB","0-0","FC København","10672","Nicolai Vollquartz","Fionia Park"
1991-03-16,"Esbjerg fB","1-0","FC Nordsjælland","4627","Claus Bo Larsen","Esbjerg Idrætspark"
1991-03-16,"FC Midtjylland","1-0","AC Horsens","10696","Nicolai Vollquartz","SAS Arena"
1991-03-16,"OB","1-0","Brøndby IF","10004","Henrik Nystrup Kragh","Fionia Park"
1991-03-16,"Viborg FF","1-1","Randers FC","4818","Peter Rasmussen","Viborg Stadion"
1991-03-16,"AaB","1-0","Silkeborg IF","6998","Jesper Bæk Overgaard","Aalborg Stadion"
1991-03-16,"FC København","3-0","Vejle BK","23706","Anders Hermansen","Parken"
1991-03-16,"FC Nordsjælland","1-1","AaB","2641","Peter Rasmussen","Farum Park"
1991-03-16,"Randers FC","3-2","Esbjerg fB","5275","Emil Laursen","Essex Park Randers"
1991-03-16,"Silkeborg IF","0-1","FC Midtjylland","3090","Thomas Vejlgaard","Silkeborg Stadion"
1991-03-16,"Vejle BK","1-2","OB","3408","Lars Christoffersen","Vejle Stadion"
1991-03-16,"Viborg FF","1-0","AC Horsens","3394","Henrik Priegel","Viborg Stadion"
1991-03-16,"FC København","3-1","Brøndby IF","32365","Claus Bo Larsen","Parken"
1991-03-16,"Brøndby IF","3-1","Silkeborg IF","9291","Peter Rasmussen","Brøndby Stadion"
1991-03-16,"AC Horsens","2-1","Randers FC","3787","Anders Hermansen","Forum Horsens Stadion"
1991-03-16,"Esbjerg fB","1-0","Vejle BK","5684","Henning Jensen","Esbjerg Idrætspark"
1991-03-16,"FC Midtjylland","3-1","Viborg FF","9845","Lars Christoffersen","SAS Arena"
1991-03-16,"OB","0-1","FC Nordsjælland","7093","Jesper Bæk Overgaard","Fionia Park"
1991-03-16,"AaB","0-1","FC København","11769","Nicolai Vollquartz","Aalborg Stadion"
1991-03-16,"FC København","2-2","FC Midtjylland","24404","Michael Svendsen","Parken"
1991-03-16,"FC Nordsjælland","4-0","AC Horsens","3275","Thomas Vejlgaard","Farum Park"
1991-03-16,"Silkeborg IF","1-3","OB","2735","Henrik Priegel","Silkeborg Stadion"
1991-03-16,"Vejle BK","1-1","AaB","2915","Anders Hermansen","Vejle Stadion"
1991-03-16,"Viborg FF","1-1","Esbjerg fB","4028","Jesper Bæk Overgaard","Viborg Stadion"
1991-03-16,"Randers FC","2-0","Brøndby IF","7221","Henrik Nystrup Kragh","Essex Park Randers"
1991-03-16,"FC Midtjylland","2-2","Vejle BK","7860","Claus Bo Larsen","SAS Arena"
1991-03-16,"AC Horsens","2-1","Silkeborg IF","5525","Thomas Vejlgaard","Forum Horsens Stadion"
1991-03-16,"Esbjerg fB","0-0","FC København","13487","Anders Hermansen","Blue Water Arena"
1991-03-16,"OB","1-2","Randers FC","11822","Henrik Nystrup Kragh","Fionia Park"
1991-03-16,"AaB","0-2","Viborg FF","6603","Jesper Bæk Overgaard","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-0","FC Nordsjælland","15067","Michael Svendsen","Brøndby Stadion"
1991-03-16,"Vejle BK","0-2","Silkeborg IF","3383","Henning Jensen","Vejle Stadion"
1991-03-16,"Esbjerg fB","1-2","OB","6115","Jesper Bæk Overgaard","Blue Water Arena"
1991-03-16,"FC København","1-1","FC Nordsjælland","20535","Nicolai Vollquartz","Parken"
1991-03-16,"Randers FC","0-0","FC Midtjylland","6470","Anders Hermansen","Essex Park Randers"
1991-03-16,"AaB","4-0","AC Horsens","4560","Hans Jørgen Stærk","Aalborg Stadion"
1991-03-16,"Viborg FF","1-1","Brøndby IF","5863","Lars Christoffersen","Viborg Stadion"
1991-03-16,"AC Horsens","1-3","FC København","5498","Lars Christoffersen","Forum Horsens Stadion"
1991-03-16,"FC Midtjylland","3-1","Esbjerg fB","9030","Henrik Nystrup Kragh","SAS Arena"
1991-03-16,"FC Nordsjælland","4-1","Viborg FF","5727","Claus Bo Larsen","Farum Park"
1991-03-16,"Silkeborg IF","0-0","Randers FC","4646","Nicolai Vollquartz","Silkeborg Stadion"
1991-03-16,"OB","1-1","AaB","8731","Michael Svendsen","Fionia Park"
1991-03-16,"Brøndby IF","4-0","Vejle BK","16297","Thomas Vejlgaard","Brøndby Stadion"
1991-03-16,"Randers FC","1-6","FC Nordsjælland","5434","Jesper Bæk Overgaard","Essex Park Randers"
1991-03-16,"Vejle BK","0-0","AC Horsens","5608","Claus Bo Larsen","Vejle Stadion"
1991-03-16,"Viborg FF","0-2","OB","4012","Henrik Priegel","Viborg Stadion"
1991-03-16,"AaB","0-2","FC Midtjylland","7188","Thomas Vejlgaard","Aalborg Stadion"
1991-03-16,"FC København","3-1","Silkeborg IF","16870","Anders Hermansen","Parken"
1991-03-16,"Esbjerg fB","1-1","Brøndby IF","10536","Emil Laursen","Blue Water Arena"
1991-03-16,"Brøndby IF","3-0","Randers FC","10516","Henning Jensen","Brøndby Stadion"
1991-03-16,"AC Horsens","3-1","Viborg FF","2922","Michael Svendsen","Forum Horsens Stadion"
1991-03-16,"FC Nordsjælland","1-1","Esbjerg fB","4050","Anders Hermansen","Farum Park"
1991-03-16,"OB","3-2","Vejle BK","7783","Nicolai Vollquartz","Fionia Park"
1991-03-16,"Silkeborg IF","4-6","AaB","2754","Henrik Priegel","Silkeborg Stadion"
1991-03-16,"FC Midtjylland","1-4","FC København","11488","Emil Laursen","SAS Arena"
1991-03-16,"AaB","3-2","Brøndby IF","9515","Nicolai Vollquartz","Aalborg Stadion"
1991-03-16,"Esbjerg fB","0-1","AC Horsens","6744","Peter Rasmussen","Blue Water Arena"
1991-03-16,"FC Midtjylland","1-1","FC Nordsjælland","7019","Claus Bo Larsen","SAS Arena"
1991-03-16,"Vejle BK","0-2","Randers FC","2541","Lars Christoffersen","Vejle Stadion"
1991-03-16,"Viborg FF","2-1","Silkeborg IF","4701","Jesper Bæk Overgaard","Viborg Stadion"
1991-03-16,"FC København","4-2","OB","25820","Henrik Nystrup Kragh","Parken"
1991-03-16,"AC Horsens","2-2","FC Midtjylland","3139","Henrik Priegel","Forum Horsens Stadion"
1991-03-16,"Brøndby IF","3-1","Viborg FF","10379","Lars Christoffersen","Brøndby Stadion"
1991-03-16,"OB","0-0","Esbjerg fB","6091","Henning Jensen","Fionia Park"
1991-03-16,"Randers FC","1-1","AaB","6159","Henrik Nystrup Kragh","Essex Park Randers"
1991-03-16,"Silkeborg IF","1-1","Vejle BK","2739","Anders Hermansen","Silkeborg Stadion"
1991-03-16,"FC Nordsjælland","0-1","FC København","8091","Michael Svendsen","Farum Park"
1991-03-16,"FC Midtjylland","2-1","Randers FC","5812","Peter Rasmussen","SAS Arena"
1991-03-16,"Esbjerg fB","0-3","Silkeborg IF","5237","Nicolai Vollquartz","Blue Water Arena"
1991-03-16,"FC Nordsjælland","2-1","OB","3027","Thomas Vejlgaard","Farum Park"
1991-03-16,"Vejle BK","3-0","Brøndby IF","5143","Claus Bo Larsen","Vejle Stadion"
1991-03-16,"Viborg FF","0-2","AaB","4768","Anders Hermansen","Viborg Stadion"
1991-03-16,"FC København","3-1","AC Horsens","21641","Emil Laursen","Parken"
1991-03-16,"OB","1-0","FC Midtjylland","7388","Emil Laursen","Fionia Park"
1991-03-16,"AC Horsens","2-3","FC Nordsjælland","2970","Jesper Bæk Overgaard","Forum Horsens Stadion"
1991-03-16,"Randers FC","3-2","Viborg FF","7221","Henning Jensen","Essex Park Randers"
1991-03-16,"Silkeborg IF","0-1","FC København","4440","Henrik Nystrup Kragh","Silkeborg Stadion"
1991-03-16,"AaB","2-0","Vejle BK","7481","Michael Svendsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-1","Esbjerg fB","15215","Thomas Vejlgaard","Brøndby Stadion"
1991-03-16,"FC København","1-2","AaB","32656","Nicolai Vollquartz","Parken"
1991-03-16,"AC Horsens","1-2","OB","3624","Anders Hermansen","Forum Horsens Stadion"
1991-03-16,"Esbjerg fB","3-1","Randers FC","4246","Michael Svendsen","Blue Water Arena"
1991-03-16,"FC Midtjylland","3-1","Silkeborg IF","7268","Claus Bo Larsen","SAS Arena"
1991-03-16,"Vejle BK","2-0","Viborg FF","2280","Peter Rasmussen","Vejle Stadion"
1991-03-16,"FC Nordsjælland","3-3","Brøndby IF","8922","Lars Christoffersen","Farum Park"
1991-03-16,"Randers FC","1-2","OB","4899","Lars Christoffersen","Essex Park Randers"
1991-03-16,"Silkeborg IF","1-1","AC Horsens","2032","Michael Svendsen","Silkeborg Stadion"
1991-03-16,"Vejle BK","3-0","Esbjerg fB","3083","Jesper Bæk Overgaard","Vejle Stadion"
1991-03-16,"Viborg FF","0-1","FC Midtjylland","3681","Emil Laursen","Viborg Stadion"
1991-03-16,"AaB","1-1","FC Nordsjælland","7437","Henning Jensen","Aalborg Stadion"
1991-03-16,"Brøndby IF","0-1","FC København","25083","Claus Bo Larsen","Brøndby Stadion"
1991-03-16,"FC Midtjylland","1-1","Brøndby IF","9508","Nicolai Vollquartz","SAS Arena"
1991-03-16,"AC Horsens","1-4","AaB","3038","Emil Laursen","Forum Horsens Stadion"
1991-03-16,"Esbjerg fB","2-2","Viborg FF","4823","Jesper Bæk Overgaard","Blue Water Arena"
1991-03-16,"FC Nordsjælland","3-0","Vejle BK","3077","Anders Hermansen","Farum Park"
1991-03-16,"OB","2-0","Silkeborg IF","8264","Thomas Vejlgaard","Fionia Park"
1991-03-16,"FC København","1-0","Randers FC","18776","Henrik Nystrup Kragh","Parken"
1991-03-16,"AaB","2-0","Esbjerg fB","7519","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","1-0","OB","16258","Michael Svendsen","Brøndby Stadion"
1991-03-16,"Randers FC","2-1","AC Horsens","6187","Lars Christoffersen","Essex Park Randers"
1991-03-16,"Silkeborg IF","1-1","FC Nordsjælland","1799","Henrik Nystrup Kragh","Silkeborg Stadion"
1991-03-16,"Vejle BK","1-2","FC Midtjylland","5802","Anders Hermansen","Vejle Stadion"
1991-03-16,"Viborg FF","0-1","FC København","5039","Thomas Vejlgaard","Viborg Stadion"
1991-03-16,"AC Horsens","1-2","Vejle BK","4480","Nicolai Vollquartz","Forum Horsens Stadion"
1991-03-16,"FC København","1-2","Esbjerg fB","19432","Lars Christoffersen","Parken"
1991-03-16,"FC Midtjylland","2-1","AaB","11373","Thomas Vejlgaard","SAS Arena"
1991-03-16,"FC Nordsjælland","4-2","Randers FC","2740","Michael Svendsen","Farum Park"
1991-03-16,"OB","2-3","Viborg FF","7286","Emil Laursen","Fionia Park"
1991-03-16,"Silkeborg IF","2-1","Brøndby IF","3651","Henrik Priegel","Silkeborg Stadion"
1991-03-16,"Brøndby IF","2-0","AC Horsens","10132","Henning Jensen","Brøndby Stadion"
1991-03-16,"Esbjerg fB","3-0","FC Midtjylland","5846","Claus Bo Larsen","Blue Water Arena"
1991-03-16,"Randers FC","1-1","Silkeborg IF","9652","Jesper Bæk Overgaard","Essex Park Randers"
1991-03-16,"Vejle BK","0-0","FC København","8104","Peter Rasmussen","Vejle Stadion"
1991-03-16,"Viborg FF","1-2","FC Nordsjælland","4855","Emil Laursen","Viborg Stadion"
1991-03-16,"AaB","3-1","OB","12011","Nicolai Vollquartz","Aalborg Stadion"
1991-03-16,"FC Nordsjælland","1-0","FC København","9045","Henning Jensen","Farum Park"
1991-03-16,"Randers FC","2-0","Viborg FF","5851","Henrik Nystrup Kragh","Essex Park Randers"
1991-03-16,"AGF","1-2","AC Horsens","12562","Jesper Bæk Overgaard","NRGi Park"
1991-03-16,"Esbjerg fB","1-0","Brøndby IF","11008","Anders Hermansen","Blue Water Arena"
1991-03-16,"OB","1-1","Lyngby BK","7598","Emil Laursen","Fionia Park"
1991-03-16,"FC Midtjylland","2-1","AaB","7665","Claus Bo Larsen","SAS Arena"
1991-03-16,"Brøndby IF","2-2","FC Nordsjælland","9865","Anders Hermansen","Brøndby Stadion"
1991-03-16,"Viborg FF","0-5","Esbjerg fB","3164","Henning Jensen","Viborg Stadion"
1991-03-16,"Lyngby BK","0-3","Randers FC","1631","Thomas Vejlgaard","Lyngby Stadion"
1991-03-16,"AGF","0-2","OB","7662","Henrik Priegel","NRGi Park"
1991-03-16,"AC Horsens","2-1","FC Midtjylland","2149","Lars Christoffersen","Fredericia Stadion"
1991-03-16,"AaB","1-1","FC København","9784","Nicolai Vollquartz","Aalborg Stadion"
1991-03-16,"FC København","3-1","Viborg FF","12337","Michael Svendsen","Parken"
1991-03-16,"OB","3-3","AC Horsens","6541","Michael Johansen","Fionia Park"
1991-03-16,"FC Nordsjælland","0-1","Lyngby BK","5065","Jesper Bæk Overgaard                               
                              / 
                              Anders Hermansen","Farum Park"
1991-03-16,"FC Midtjylland","5-0","Brøndby IF","10137","Nicolai Vollquartz","SAS Arena"
1991-03-16,"Esbjerg fB","2-2","AGF","8845","Henrik Nystrup Kragh","Blue Water Arena"
1991-03-16,"Randers FC","5-0","AaB","8889","Emil Laursen","Essex Park Randers"
1991-03-16,"AGF","0-1","FC København","13217","Claus Bo Larsen","NRGi Park"
1991-03-16,"Esbjerg fB","1-3","Randers FC","8502","Michael Svendsen","Blue Water Arena"
1991-03-16,"AC Horsens","1-1","AaB","2115","Anders Hermansen","Fredericia Stadion"
1991-03-16,"FC Midtjylland","1-0","Viborg FF","7688","Henrik Priegel","SAS Arena"
1991-03-16,"Brøndby IF","3-0","Lyngby BK","13046","Henrik Nystrup Kragh","Brøndby Stadion"
1991-03-16,"OB","3-0","FC Nordsjælland","8002","Nicolai Vollquartz","Fionia Park"
1991-03-16,"FC København","5-2","Esbjerg fB","15876","Lars Christoffersen","Parken"
1991-03-16,"FC Nordsjælland","1-1","FC Midtjylland","3451","Emil Laursen","Farum Park"
1991-03-16,"Lyngby BK","0-0","AC Horsens","2422","Claus Bo Larsen","Lyngby Stadion"
1991-03-16,"Randers FC","0-0","OB","10210","Henrik Priegel","Essex Park Randers"
1991-03-16,"AaB","2-0","AGF","7957","Michael Svendsen","Aalborg Stadion"
1991-03-16,"Viborg FF","1-1","Brøndby IF","6984","Peter Rasmussen","Viborg Stadion"
1991-03-16,"Brøndby IF","0-1","AGF","13534","Nicolai Vollquartz","Brøndby Stadion"
1991-03-16,"Randers FC","1-1","FC Nordsjælland","7739","Michael Johansen","Essex Park Randers"
1991-03-16,"Viborg FF","2-1","AC Horsens","4259","Thomas Vejlgaard","Viborg Stadion"
1991-03-16,"AaB","2-3","OB","6186","Henrik Nystrup Kragh","Aalborg Stadion"
1991-03-16,"FC København","0-0","FC Midtjylland","23557","Anders Hermansen","Parken"
1991-03-16,"Lyngby BK","1-6","Esbjerg fB","2362","Henning Jensen","Lyngby Stadion"
1991-03-16,"OB","0-0","FC København","14166","Thomas Vejlgaard","Fionia Park"
1991-03-16,"Esbjerg fB","1-2","AaB","6603","Nicolai Vollquartz","Blue Water Arena"
1991-03-16,"FC Midtjylland","3-2","Randers FC","10170","Claus Bo Larsen","SAS Arena"
1991-03-16,"FC Nordsjælland","4-0","Viborg FF","3114","Lars Christoffersen","Farum Park"
1991-03-16,"AC Horsens","4-2","Brøndby IF","4830","Michael Svendsen","Forum Horsens Stadion"
1991-03-16,"AGF","0-0","Lyngby BK","10268","Peter Rasmussen","NRGi Park"
1991-03-16,"Viborg FF","2-0","AGF","4563","Emil Laursen","Viborg Stadion"
1991-03-16,"Lyngby BK","1-2","FC Midtjylland","1825","Michael Johansen","Lyngby Stadion"
1991-03-16,"AC Horsens","4-3","Esbjerg fB","3182","Claus Bo Larsen","Forum Horsens Stadion"
1991-03-16,"FC København","1-0","Randers FC","22226","Nicolai Vollquartz","Parken"
1991-03-16,"Brøndby IF","1-1","OB","14353","Jesper Bæk Overgaard","Brøndby Stadion"
1991-03-16,"AaB","2-1","FC Nordsjælland","5601","Anders Hermansen","Aalborg Stadion"
1991-03-16,"FC København","1-0","AC Horsens","15454","Henning Jensen","Parken"
1991-03-16,"FC Midtjylland","2-1","OB","10610","Michael Svendsen","SAS Arena"
1991-03-16,"Randers FC","0-1","AGF","11053","Thomas Vejlgaard","Essex Park Randers"
1991-03-16,"Viborg FF","2-1","Lyngby BK","4438","Henrik Nystrup Kragh","Viborg Stadion"
1991-03-16,"AaB","3-0","Brøndby IF","10359","Henrik Priegel","Aalborg Stadion"
1991-03-16,"FC Nordsjælland","3-1","Esbjerg fB","3561","Peter Rasmussen","Farum Park"
1991-03-16,"AGF","1-2","FC Nordsjælland","8863","Jesper Bæk Overgaard","NRGi Park"
1991-03-16,"Lyngby BK","3-4","AaB","2727","Nicolai Vollquartz","Lyngby Stadion"
1991-03-16,"AC Horsens","1-0","Randers FC","3901","Lars Christoffersen","Forum Horsens Stadion"
1991-03-16,"Brøndby IF","0-1","FC København","19686","Peter Rasmussen","Brøndby Stadion"
1991-03-16,"Esbjerg fB","2-0","FC Midtjylland","6577","Claus Bo Larsen","Blue Water Arena"
1991-03-16,"OB","4-0","Viborg FF","7348","Henning Jensen","Fionia Park"
1991-03-16,"FC København","2-0","Lyngby BK","16550","Thomas Vejlgaard","Parken"
1991-03-16,"AaB","3-2","Viborg FF","7001","Michael Johansen","Aalborg Stadion"
1991-03-16,"FC Midtjylland","2-0","AGF","9774","Emil Laursen","SAS Arena"
1991-03-16,"OB","1-1","Esbjerg fB","10006","Henrik Priegel","Fionia Park"
1991-03-16,"Brøndby IF","1-1","Randers FC","13562","Anders Hermansen","Brøndby Stadion"
1991-03-16,"FC Nordsjælland","0-0","AC Horsens","3658","Henrik Nystrup Kragh","Farum Park"
1991-03-16,"Viborg FF","1-2","Brøndby IF","6655","Claus Bo Larsen","Viborg Stadion"
1991-03-16,"Randers FC","3-0","FC Midtjylland","6369","Nicolai Vollquartz","Essex Park Randers"
1991-03-16,"AC Horsens","2-1","Lyngby BK","3055","Peter Rasmussen","Forum Horsens Stadion"
1991-03-16,"Esbjerg fB","0-0","OB","7312","Lars Christoffersen","Blue Water Arena"
1991-03-16,"FC København","1-1","FC Nordsjælland","19284","Anders Hermansen","Parken"
1991-03-16,"AGF","3-5","AaB","8853","Michael Svendsen","NRGi Park"
1991-03-16,"AaB","0-0","FC København","11801","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"FC Nordsjælland","2-1","Randers FC","3824","Henning Jensen","Farum Park"
1991-03-16,"Lyngby BK","2-0","Viborg FF","1846","Jesper Bæk Overgaard","Lyngby Stadion"
1991-03-16,"OB","2-0","AC Horsens","7412","Emil Laursen","Fionia Park"
1991-03-16,"Brøndby IF","2-1","AGF","17070","Thomas Vejlgaard","Brøndby Stadion"
1991-03-16,"FC Midtjylland","2-2","Esbjerg fB","9060","Nicolai Vollquartz","SAS Arena"
1991-03-16,"Lyngby BK","1-3","AGF","2701","Henrik Priegel","Lyngby Stadion"
1991-03-16,"FC Midtjylland","2-1","Viborg FF","9750","Peter Rasmussen","SAS Arena"
1991-03-16,"FC København","0-1","Randers FC","18741","Nicolai Vollquartz","Parken"
1991-03-16,"FC Nordsjælland","1-2","AC Horsens","3086","Michael Svendsen","Farum Park"
1991-03-16,"OB","0-0","Brøndby IF","12478","Henning Jensen","Fionia Park"
1991-03-16,"AaB","2-0","Esbjerg fB","7379","Lars Christoffersen","Aalborg Stadion"
1991-03-16,"AGF","0-2","FC København","9162","Emil Laursen","NRGi Park"
